date,T_mean,T_min,T_max,T_numdays_belowzero,T_numdays_thaw,T_sum_thaw,P_sum,P_max,P_numdays_rain,P_numdays_snow,P_sum_rain,P_sum_snow,P_ratio_rain,P_numdays_rainonsnow,P_sum_rainonsnow,P_ratio_rainonsnow,PET_sum,Snowpack_mean,Snowpack_max,Snowpack_numdays,T_mean_1,T_sum_1,P_sum_1,PET_sum_1,T_mean_2,T_sum_2,P_sum_2,PET_sum_2,T_mean_3,T_sum_3,P_sum_3,PET_sum_3,T_mean_4,T_sum_4,P_sum_4,PET_sum_4,T_mean_5,T_sum_5,P_sum_5,PET_sum_5,T_mean_6,T_sum_6,P_sum_6,PET_sum_6,T_mean_7,T_sum_7,P_sum_7,PET_sum_7,T_mean_8,T_sum_8,P_sum_8,PET_sum_8,T_mean_9,T_sum_9,P_sum_9,PET_sum_9,T_mean_10,T_sum_10,P_sum_10,PET_sum_10,T_mean_11,T_sum_11,P_sum_11,PET_sum_11,T_mean_12,T_sum_12,P_sum_12,PET_sum_12
1980,-3.63874241611647,-37.62012388489834,24.723963942543666,209,18,88.19375287613752,1067.0511418450772,66.61476700937925,99,92,345.29285421799085,721.7582876270862,0.3235954123257226,11,69.77275476227871,0.06538838864052203,379.2005180437704,162.30619300930616,489.8985119386795,221,-23.51968925239871,-729.11036682436,147.6027129243718,0.0,-23.64015013145743,-685.5643538122654,122.57493753441403,0.0,-15.000005606353401,-465.00017379695544,41.48891412021068,0.0,-6.570113208396996,-197.10339625190988,112.27021231324272,5.8474055698765754,2.9299778623636583,90.82931373327341,82.17474940620329,39.09527141091246,11.929854311265204,357.8956293379561,73.48278325084488,85.88180905455658,17.859838063559014,553.6549799703295,2.0110019883814902,113.7816107172026,15.60002429161718,483.6007530401326,46.889325174899106,86.06743524154119,8.229874127973973,246.8962238392192,146.03946593408642,38.65318656923541,-1.7061309556025193e-05,-0.000528900596236781,23.144276668421696,9.873799480445557,-14.02984426441074,-420.8953279323222,145.44097618042753,0.0,-18.289757312939678,-566.98247670113,123.9317863495736,0.0
1981,-2.0465981695573285,-26.895850091330004,24.58488237027842,179,21,59.815133988001264,1246.1456434175839,91.83751004649488,114,82,646.3793049250811,599.7663384925028,0.5187028565556515,12,35.98772924683677,0.028879232084092172,386.3491204723576,122.92384715385612,335.03668904270677,198,-20.979500119029606,-650.3645036899178,30.371349190622645,0.0,-19.389759862786516,-542.9132761580224,59.835685302732045,0.0,-15.729894625970735,-487.62673340509275,8.687702147842163,0.3604260553623584,-1.5401968618275022,-46.20590585482506,57.20218052883355,15.260573246055706,5.729894644983841,177.6267339944991,68.26106628807064,51.88725233157063,11.640223048836068,349.20669146508203,17.21034682145709,84.27402793580038,15.52992529663952,481.4276841958251,93.98564974627436,102.29700581385393,13.470000551222547,417.570017087899,104.14941654623247,77.26982746295623,8.529898755843282,255.89696267529848,87.07845679862828,39.90721429443797,2.0401867144837196,63.2457881489953,323.87545076902836,14.407170706590811,-10.419612620987843,-312.5883786296353,100.43894071963335,0.52793947228216,-14.589787474791375,-452.28341171853265,295.04939855822914,0.15768315344738987
1982,-3.1375091035095024,-35.35128887438489,23.917088952995638,191,23,71.66022593917262,1091.1005087383926,67.35019854414446,108,86,424.81319446961857,666.2873142687745,0.3893437782013479,14,28.280055277178704,0.02591883612067792,371.4286796447564,117.63297239052686,389.84379811370314,214,-24.289727501043583,-752.9815525323511,126.93643574649596,0.0,-17.059823361667508,-477.6750541266902,142.89616386830076,0.0,-14.630016437435865,-453.5305095605118,79.85660786004703,0.0,-2.8699943813196453,-86.09983143958937,8.745151386760963,13.894842992534183,3.4000153572328857,105.40047607421945,145.42927568910758,40.665490785063206,10.12986496937319,303.8959490811957,40.55349820765936,76.71411319755333,15.599970263396461,483.5990781652903,39.29110683929673,103.00959782928771,15.099973251426054,468.0991707942077,108.11336995285231,83.95599059315428,9.499974915766838,284.99924747300514,62.23293054000375,43.06101186380215,0.14018113716557976,4.345615252132973,138.8762686234161,10.05162595984873,-13.54956062722785,-406.48681881683547,125.32766883126743,0.07600642351282252,-19.95989010145297,-618.7565931450421,72.8420311931847,0.0
1983,-2.5057467009605388,-31.118715100948318,23.876216538300184,192,25,66.23152462824277,1209.7316199403745,98.85618092639605,89,79,520.8170246964931,688.9145952438813,0.4305227838238727,16,24.941657885335736,0.02061751340067069,399.118123239383,162.99026507852562,419.5797126906118,214,-19.679526437412257,-610.0653195597799,167.0489728915977,0.0,-24.459822232377523,-684.8750225065706,6.410353164872963,0.0,-12.299933013523182,-381.29792341921865,56.14468900521687,1.0415483493306459,-1.229964843053428,-36.89894529160284,82.52387787259278,14.11460286718209,3.829888715227192,118.72655017204295,7.994666101990388,42.918655278837726,11.140154800500268,334.20464401500806,10.980889217603464,81.80584658036368,16.570100606494616,513.6731188013331,20.563216071885414,107.74612028871199,16.770063977169745,519.871983292262,40.297268474861575,91.33647062544208,12.170075072589116,365.10225217767345,122.87238278782881,50.725864233887194,-0.6599358307579029,-20.45801075349499,350.64431681899225,9.382567333267861,-12.729971395329441,-381.89914185988323,288.84327623559193,0.04644768235975652,-20.989733255431247,-650.6817309183687,55.40771129734016,0.0
1984,-2.229726187204009,-30.70246303192277,22.826078581199738,192,24,66.41935640620522,1117.8965588172468,42.047315053763036,109,85,481.96049697017287,635.936061847074,0.43113156863108615,10,47.514695235936124,0.04250365998640112,392.893261603314,126.63825250962141,400.3561454703164,211,-21.459807004953763,-665.2540171535667,45.7701636009984,0.0,-20.25974841503215,-587.5327040359323,198.0731561688497,0.0,-12.559860121591372,-389.3556637693325,106.84007809966478,0.1363787460048052,-3.2701047318465157,-98.10314195539547,11.398270567493439,12.543604951330963,5.7299074675070685,177.62713149271912,4.2847900136468855,52.62677142911793,13.900083204468007,417.0024961340402,59.924865726125866,95.72246604134888,14.929917555077237,462.82744420739436,135.59556481736337,99.09520645664693,14.229841081624754,441.1250735303674,82.99812665131408,79.78714172421381,9.20005208846472,276.00156265394156,91.29031528910946,41.95257884908079,0.41017715326162185,12.715491751110278,178.46929895144666,10.616203790955344,-8.259821751376201,-247.79465254128604,123.10377895530945,0.41290961461458875,-19.849638865507192,-615.3388048307229,80.14814997592485,0.0
1985,-3.130709390564724,-33.80126654418848,19.900817876094834,188,16,52.73669649953081,800.9572680198658,60.66412566331585,104,65,360.14474706291935,440.8125209569464,0.44964289787053513,11,21.652123681438013,0.027032807549105087,375.36509718101416,91.93316376007749,309.5351729430509,202,-26.719647989526205,-828.3090876753124,30.12609289620483,0.0,-17.559853533079092,-491.6758989262146,99.05618504103168,0.05248560999840506,-12.029812348426944,-372.92418280123525,36.117279419568725,0.5284761148781382,-0.8999756714602029,-26.999270143806086,58.83296784736408,17.375982892276802,4.500071245217047,139.50220860172846,82.06989967242285,46.17271411580667,8.899999808522681,266.9999942556804,19.604225746465577,70.43846025689557,15.199943739759279,471.1982559325376,42.79488446929547,100.90022957650416,14.899986150092088,461.8995706528547,53.330215494906156,82.8166929786251,10.029909755808266,300.897292674248,70.89468681792592,44.72585583601957,0.9700805934810286,30.072498397911886,95.38044853148209,12.33172492721675,-13.61964815213467,-408.58944456404015,70.15937484642225,0.0224748727929358,-22.089705289047636,-684.7808639604767,142.59100723677616,0.0
1986,-2.5184017333652338,-35.095295592642145,22.81343684074625,191,20,70.84283051877776,1148.1986851441789,48.22034435981946,100,84,387.69601876440043,760.5026663797788,0.3376558637285999,17,23.820255839985254,0.020745761293912434,404.54421154495145,138.26092907111237,377.17090022158084,211,-25.489762950652857,-790.1826514702385,75.25317749838518,0.0,-18.359801745668893,-514.074448878729,64.38884889627893,0.0,-12.629883553939923,-391.5263901721376,5.046535560612223,0.19900698257570174,-1.7999990271724111,-53.99997081517233,98.10179850303808,15.275492459581612,3.9000005311180694,120.90001646466015,63.1571842554901,42.8860773801958,13.000000475366027,390.00001426098083,16.175523625719112,91.22691329857385,16.799998668134613,520.799958712173,16.11319458345403,108.97419269566564,16.140190797854974,500.34591473350423,129.48737228344973,88.32082673610144,10.800083014654343,324.00249043963026,109.48063266538612,46.60093525179249,-0.42982848247353067,-13.324682956679451,194.33964680680705,10.319617345330402,-9.88981391913747,-296.6944175741241,214.69812300210967,0.7411493951345309,-23.07943436845734,-715.4624654221775,161.9566474634489,0.0
1987,-3.692352569235489,-34.48726002061352,20.059821394856268,204,25,93.05724783282221,1041.9496970255605,76.21469185299429,94,85,350.588690417494,691.3610066080668,0.33647371981422397,16,82.23389504105504,0.07892309511275546,344.63698101184036,154.66100397461318,459.7813683596968,222,-26.859890985791893,-832.6566205595486,21.192404056705264,0.0,-20.359869883589223,-570.0763567404982,111.36349846895742,0.0,-11.959852819369717,-370.75543740046123,180.0495551447711,0.0,-4.340167402482719,-130.20502207448158,74.90078236784092,9.604435285611926,2.259763208244573,70.05265945558176,124.27810291250275,35.32365576859335,11.059824544902222,331.79473634706665,45.60283846446394,81.36016938473904,12.470040358888763,386.57125112555167,55.83321337993032,87.18357369039983,13.499958388895097,418.498710055748,35.06672092495569,77.37326460475428,9.099981393684862,272.9994418105459,70.19606681898162,42.01175690514487,0.5700738381478401,17.67228898258304,81.65902100738704,11.587624379977653,-12.559836488710555,-376.7950946613167,141.49114615780687,0.1925009926193858,-18.219653035862102,-564.8092441117252,100.31634732125767,0.0
1988,-2.642630527898183,-30.819606157341184,24.98665900005716,184,23,82.14819389562456,1218.3255231486673,64.08756431045653,83,88,521.7715730011626,696.553950147505,0.42826942642774535,12,37.45158582620703,0.030740212787643426,401.6117602539252,136.2776059130153,430.40117860975334,202,-22.459837635873193,-696.254966712069,144.85902414735446,0.0,-20.729838284986446,-601.1653102646069,122.86434692451037,0.0,-12.900025821265697,-399.9008004592366,85.74817031429511,0.0,-2.2701176945711796,-68.1035308371354,30.908129321138762,11.555526891142478,4.0597583472545855,125.85250876489215,105.51519080970795,44.4445317331361,12.5999545279534,377.998635838602,26.571342579189533,89.25238560265657,17.699978792373333,548.6993425635733,17.07053815556855,112.79282748866015,15.329857143779906,475.22557145717707,150.63607550571007,84.73890862609507,10.329894426937347,309.8968328081204,159.50299913963508,44.52634959385125,2.37001512412502,73.47046884787562,122.01267980632676,14.301230318383503,-12.9897788453033,-389.693365359099,170.0985802400236,0.0,-23.32994064060748,-723.2281598588319,82.5384462052073,0.0
1989,-1.2040868161069989,-28.97103095497121,23.57342778883651,200,19,37.23492057397635,791.155677855212,48.412451692257754,81,87,313.3217589856372,477.8339188695749,0.39603047510831063,10,59.07413323770991,0.07466815304651199,396.5592418661165,77.36322272800345,215.8386195771901,218,-20.88976189427815,-647.5826187226226,27.590360692868593,0.0,-16.100090754108745,-450.80254111504485,22.297487291300733,0.0,-7.629904062528341,-236.52702593837859,46.57542469757926,2.4962448298982425,-2.1701175099824375,-65.10352529947312,19.425541960267864,11.685463223264478,2.2299538023043968,69.1285678714363,137.1025285499939,35.30002423008185,13.799958099502238,413.9987429850671,3.1470406768734613,95.26389407766395,16.489741280647493,511.18197970007225,105.6780627086353,107.45888536629744,16.42990436034271,509.327035170624,50.36662340297592,89.68146355512417,9.629866795296511,288.8960038588953,56.15541477554787,43.489011302992985,-7.514154178849478e-05,-0.0023293877954433384,103.58865782285929,10.77449510840382,-10.559857827022098,-316.79573481066296,80.8793536247512,0.35552474611284757,-16.61968523197331,-515.2102421911726,138.34918165155864,0.054235426276706196
