date,runoff,soilstore,snowpack,meltwater,T,P,PET
1979-01-01,0.6842768173741018,545.995099473958,158.34651683753685,0.0,-11.730922847336672,0.0,0.0
1979-01-02,0.6754732522571654,545.995099473958,158.34651683753685,0.0,-13.038864817427225,0.0,0.0
1979-01-03,0.6667829477927674,545.995099473958,158.34651683753685,0.0,-12.0604049807838,0.0,0.0
1979-01-04,0.6582044469074149,545.995099473958,158.34651683753685,0.0,-20.23383221292795,0.0,0.0
1979-01-05,0.6497363112702974,545.995099473958,158.34651683753685,0.0,-27.861400488234068,0.0,0.0
1979-01-06,0.6413771210522793,545.995099473958,165.76037013049827,0.0,-21.30496356086869,10.820482113769918,0.0
1979-01-07,0.6331254746879879,545.995099473958,170.77702833924596,0.0,-16.055999998137395,7.321787776699924,0.0
1979-01-08,0.6249799886409564,545.995099473958,175.27354151303436,0.0,-19.391447828395314,6.5626386777169845,0.0
1979-01-09,0.6169392971717864,545.995099473958,175.27354151303436,0.0,-28.201979343549283,0.0,0.0
1979-01-10,0.6090020521092868,545.995099473958,175.27354151303436,0.0,-29.61147933031845,0.0,0.0
1979-01-11,0.601166922624554,545.995099473958,178.54886374680646,0.0,-28.409309447929672,4.780316556979953,0.0
1979-01-12,0.5934325950079552,545.995099473958,178.82532078389005,0.0,-25.226033290780634,0.4034876745980898,0.0
1979-01-13,0.5857977724489762,545.995099473958,183.20297471066863,0.0,-22.892891616357872,6.389164196161408,0.0
1979-01-14,0.5782611748188988,545.995099473958,185.3022263748346,0.0,-19.46851054049949,3.063847393092414,0.0
1979-01-15,0.5708215384562697,545.995099473958,185.3022263748346,0.0,-19.30383492672752,0.0,0.0
1979-01-16,0.5634776159551274,545.995099473958,185.3022263748346,0.0,-20.08473280989216,0.0,0.0
1979-01-17,0.5562281759559495,545.995099473958,185.3022263748346,0.0,-21.322407816533484,0.0,0.0
1979-01-18,0.5490720029392868,545.995099473958,185.3022263748346,0.0,-23.11944441237827,0.0,0.0
1979-01-19,0.542007897022049,545.995099473958,185.3022263748346,0.0,-23.318707511659568,0.0,0.0
1979-01-20,0.5350346737564091,545.995099473958,185.3022263748346,0.0,-24.887533141245346,0.0,0.0
1979-01-21,0.5281511639312922,545.995099473958,185.3022263748346,0.0,-28.487372871223727,0.0,0.0
1979-01-22,0.5213562133764147,545.995099473958,185.3022263748346,0.0,-30.11193748823217,0.0,0.0
1979-01-23,0.5146486827688423,545.995099473958,185.3022263748346,0.0,-29.741202747718265,0.0,0.0
1979-01-24,0.5080274474420362,545.995099473958,185.3022263748346,0.0,-27.62843871656645,0.0,0.0
1979-01-25,0.5014913971973499,545.995099473958,185.3022263748346,0.0,-27.558108704800304,0.0,0.0
1979-01-26,0.4950394361179529,545.995099473958,185.3022263748346,0.0,-26.48595754858877,0.0,0.0
1979-01-27,0.4886704823851432,545.995099473958,185.3022263748346,0.0,-23.5597853486878,0.0,0.0
1979-01-28,0.4823834680970222,545.995099473958,185.3022263748346,0.0,-25.264360600469928,0.0,0.0
1979-01-29,0.4761773390895003,545.995099473958,185.3022263748346,0.0,-26.28657413371096,0.0,0.0
1979-01-30,0.4700510547596037,545.995099473958,185.3022263748346,0.0,-29.409517631603308,0.0,0.0
1979-01-31,0.4640035878910514,545.995099473958,185.3022263748346,0.0,-30.15264335356852,0.0,0.0
1979-02-01,0.4580339244820753,545.995099473958,191.0366620388224,0.0,-27.562645457935417,8.369380412969928,0.0
1979-02-02,0.4521410635754539,545.995099473958,197.86313106742253,0.0,-22.918161524452216,9.963197692932376,0.0
1979-02-03,0.4463240170907312,545.995099473958,198.8209337813836,0.0,-22.31471706905117,1.3979083110230492,0.0
1979-02-04,0.4405818096585905,545.995099473958,198.8209337813836,0.0,-24.528834602349946,0.0,0.0
1979-02-05,0.4349134784573605,545.995099473958,198.8209337813836,0.0,-25.96604618968149,0.0,0.0
1979-02-06,0.429318073051621,545.995099473958,199.6558059897032,0.0,-21.967159607977067,1.218491847684917,0.0
